freq (Hz),output noise; A / sqrt(Hz) a 1 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 20  (A / sqrt(Hz))
2.08930E3,102.021E-12,52.0378E-12,46.4523E-12,49.6026E-12,43.8425E-12,38.6095E-12,34.6860E-12,32.3379E-12,31.1431E-12,30.5304E-12,30.1661E-12,29.9112E-12,29.7104E-12,29.5403E-12,29.3900E-12,29.2538E-12,29.1285E-12,29.0122E-12,28.9035E-12,28.8013E-12,155.148E-12,94.1720E-12,88.5956E-12,91.5817E-12,80.0128E-12,69.5381E-12,61.5281E-12,56.6690E-12,54.2045E-12,52.9676E-12,52.2569E-12,51.7764E-12,51.4083E-12,51.1027E-12,50.8364E-12,50.5974E-12,50.3791E-12,50.1772E-12,49.9891E-12,49.8128E-12,197.510E-12,134.059E-12,133.084E-12,132.674E-12,115.227E-12,99.6553E-12,87.6750E-12,80.3720E-12,76.6728E-12,74.8302E-12,73.7843E-12,73.0865E-12,72.5580E-12,72.1231E-12,71.7462E-12,71.4094E-12,71.1024E-12,70.8192E-12,70.5556E-12,70.3088E-12,233.602E-12,171.841E-12,179.597E-12,172.933E-12,149.648E-12,129.155E-12,113.355E-12,103.706E-12,98.8263E-12,96.4047E-12,95.0381E-12,94.1324E-12,93.4504E-12,92.8915E-12,92.4088E-12,91.9782E-12,91.5863E-12,91.2249E-12,90.8888E-12,90.5742E-12,265.458E-12,207.785E-12,227.734E-12,212.344E-12,183.333E-12,158.097E-12,138.632E-12,126.742E-12,120.738E-12,117.766E-12,116.094E-12,114.990E-12,114.161E-12,113.484E-12,112.900E-12,112.379E-12,111.905E-12,111.469E-12,111.063E-12,110.683E-12
2.13796E3,100.893E-12,51.6051E-12,46.3015E-12,49.5553E-12,43.8292E-12,38.6047E-12,34.6838E-12,32.3366E-12,31.1423E-12,30.5298E-12,30.1657E-12,29.9108E-12,29.7100E-12,29.5400E-12,29.3897E-12,29.2535E-12,29.1283E-12,29.0120E-12,28.9033E-12,28.8012E-12,153.428E-12,93.3242E-12,88.2191E-12,91.4549E-12,79.9750E-12,69.5240E-12,61.5215E-12,56.6653E-12,54.2020E-12,52.9657E-12,52.2554E-12,51.7751E-12,51.4072E-12,51.1017E-12,50.8355E-12,50.5967E-12,50.3784E-12,50.1765E-12,49.9885E-12,49.8123E-12,195.318E-12,132.811E-12,132.433E-12,132.444E-12,115.155E-12,99.6280E-12,87.6621E-12,80.3645E-12,76.6677E-12,74.8263E-12,73.7811E-12,73.0839E-12,72.5558E-12,72.1211E-12,71.7444E-12,71.4078E-12,71.1010E-12,70.8179E-12,70.5544E-12,70.3077E-12,231.009E-12,170.210E-12,178.637E-12,172.582E-12,149.535E-12,129.111E-12,113.334E-12,103.694E-12,98.8178E-12,96.3982E-12,95.0328E-12,94.1279E-12,93.4466E-12,92.8882E-12,92.4058E-12,91.9755E-12,91.5839E-12,91.2227E-12,90.8868E-12,90.5724E-12,262.512E-12,205.790E-12,226.439E-12,211.860E-12,183.171E-12,158.033E-12,138.600E-12,126.724E-12,120.726E-12,117.756E-12,116.086E-12,114.983E-12,114.155E-12,113.479E-12,112.895E-12,112.375E-12,111.902E-12,111.466E-12,111.060E-12,110.680E-12
2.18776E3,99.7779E-12,51.1787E-12,46.1537E-12,49.5090E-12,43.8162E-12,38.6000E-12,34.6817E-12,32.3355E-12,31.1415E-12,30.5291E-12,30.1652E-12,29.9104E-12,29.7097E-12,29.5397E-12,29.3894E-12,29.2533E-12,29.1281E-12,29.0118E-12,28.9031E-12,28.8010E-12,151.728E-12,92.4881E-12,87.8495E-12,91.3308E-12,79.9380E-12,69.5103E-12,61.5151E-12,56.6616E-12,54.1995E-12,52.9638E-12,52.2538E-12,51.7738E-12,51.4061E-12,51.1008E-12,50.8347E-12,50.5959E-12,50.3777E-12,50.1759E-12,49.9879E-12,49.8117E-12,193.152E-12,131.579E-12,131.793E-12,132.219E-12,115.085E-12,99.6013E-12,87.6494E-12,80.3572E-12,76.6627E-12,74.8225E-12,73.7781E-12,73.0813E-12,72.5535E-12,72.1191E-12,71.7427E-12,71.4062E-12,71.0996E-12,70.8166E-12,70.5532E-12,70.3066E-12,228.446E-12,168.601E-12,177.693E-12,172.239E-12,149.424E-12,129.068E-12,113.313E-12,103.682E-12,98.8095E-12,96.3918E-12,95.0276E-12,94.1236E-12,93.4428E-12,92.8849E-12,92.4029E-12,91.9729E-12,91.5815E-12,91.2206E-12,90.8848E-12,90.5705E-12,259.600E-12,203.822E-12,225.166E-12,211.386E-12,183.012E-12,157.970E-12,138.570E-12,126.706E-12,120.713E-12,117.747E-12,116.078E-12,114.977E-12,114.150E-12,113.474E-12,112.891E-12,112.371E-12,111.898E-12,111.462E-12,111.057E-12,110.678E-12
2.23872E3,98.6765E-12,50.7586E-12,46.0087E-12,49.4638E-12,43.8035E-12,38.5955E-12,34.6796E-12,32.3343E-12,31.1407E-12,30.5286E-12,30.1647E-12,29.9100E-12,29.7094E-12,29.5394E-12,29.3892E-12,29.2531E-12,29.1279E-12,29.0116E-12,28.9029E-12,28.8008E-12,150.048E-12,91.6638E-12,87.4869E-12,91.2094E-12,79.9018E-12,69.4968E-12,61.5089E-12,56.6581E-12,54.1970E-12,52.9620E-12,52.2523E-12,51.7725E-12,51.4050E-12,51.0998E-12,50.8339E-12,50.5951E-12,50.3770E-12,50.1753E-12,49.9873E-12,49.8112E-12,191.011E-12,130.364E-12,131.165E-12,131.999E-12,115.016E-12,99.5752E-12,87.6371E-12,80.3500E-12,76.6578E-12,74.8188E-12,73.7750E-12,73.0787E-12,72.5513E-12,72.1172E-12,71.7410E-12,71.4047E-12,71.0982E-12,70.8153E-12,70.5520E-12,70.3055E-12,225.914E-12,167.014E-12,176.766E-12,171.903E-12,149.315E-12,129.025E-12,113.293E-12,103.670E-12,98.8013E-12,96.3856E-12,95.0226E-12,94.1193E-12,93.4392E-12,92.8817E-12,92.4001E-12,91.9704E-12,91.5792E-12,91.2184E-12,90.8828E-12,90.5687E-12,256.722E-12,201.880E-12,223.916E-12,210.922E-12,182.858E-12,157.909E-12,138.540E-12,126.688E-12,120.701E-12,117.737E-12,116.071E-12,114.970E-12,114.144E-12,113.469E-12,112.886E-12,112.367E-12,111.895E-12,111.459E-12,111.054E-12,110.675E-12
2.29087E3,97.5881E-12,50.3446E-12,45.8666E-12,49.4195E-12,43.7911E-12,38.5910E-12,34.6776E-12,32.3331E-12,31.1400E-12,30.5280E-12,30.1642E-12,29.9096E-12,29.7090E-12,29.5391E-12,29.3889E-12,29.2528E-12,29.1277E-12,29.0114E-12,28.9027E-12,28.8007E-12,148.388E-12,90.8509E-12,87.1310E-12,91.0906E-12,79.8665E-12,69.4837E-12,61.5028E-12,56.6546E-12,54.1947E-12,52.9602E-12,52.2509E-12,51.7713E-12,51.4039E-12,51.0989E-12,50.8330E-12,50.5944E-12,50.3763E-12,50.1747E-12,49.9868E-12,49.8107E-12,188.896E-12,129.165E-12,130.548E-12,131.783E-12,114.949E-12,99.5496E-12,87.6250E-12,80.3430E-12,76.6530E-12,74.8151E-12,73.7721E-12,73.0762E-12,72.5492E-12,72.1153E-12,71.7393E-12,71.4032E-12,71.0968E-12,70.8141E-12,70.5509E-12,70.3045E-12,223.411E-12,165.448E-12,175.855E-12,171.574E-12,149.209E-12,128.984E-12,113.273E-12,103.659E-12,98.7934E-12,96.3795E-12,95.0176E-12,94.1152E-12,93.4356E-12,92.8786E-12,92.3973E-12,91.9679E-12,91.5769E-12,91.2164E-12,90.8809E-12,90.5670E-12,253.879E-12,199.965E-12,222.686E-12,210.467E-12,182.706E-12,157.849E-12,138.511E-12,126.671E-12,120.689E-12,117.728E-12,116.063E-12,114.964E-12,114.139E-12,113.464E-12,112.882E-12,112.363E-12,111.891E-12,111.456E-12,111.051E-12,110.672E-12
2.34423E3,96.5126E-12,49.9368E-12,45.7274E-12,49.3762E-12,43.7789E-12,38.5867E-12,34.6756E-12,32.3320E-12,31.1392E-12,30.5274E-12,30.1638E-12,29.9092E-12,29.7087E-12,29.5388E-12,29.3887E-12,29.2526E-12,29.1275E-12,29.0112E-12,28.9026E-12,28.8005E-12,146.748E-12,90.0495E-12,86.7819E-12,90.9743E-12,79.8319E-12,69.4709E-12,61.4968E-12,56.6511E-12,54.1923E-12,52.9584E-12,52.2495E-12,51.7701E-12,51.4029E-12,51.0980E-12,50.8322E-12,50.5937E-12,50.3757E-12,50.1741E-12,49.9862E-12,49.8102E-12,186.805E-12,127.983E-12,129.943E-12,131.572E-12,114.884E-12,99.5247E-12,87.6132E-12,80.3362E-12,76.6483E-12,74.8116E-12,73.7692E-12,73.0738E-12,72.5471E-12,72.1135E-12,71.7377E-12,71.4018E-12,71.0955E-12,70.8129E-12,70.5498E-12,70.3035E-12,220.939E-12,163.903E-12,174.960E-12,171.252E-12,149.105E-12,128.944E-12,113.254E-12,103.647E-12,98.7856E-12,96.3735E-12,95.0128E-12,94.1111E-12,93.4321E-12,92.8755E-12,92.3946E-12,91.9654E-12,91.5747E-12,91.2143E-12,90.8791E-12,90.5653E-12,251.069E-12,198.074E-12,221.479E-12,210.022E-12,182.558E-12,157.790E-12,138.483E-12,126.655E-12,120.678E-12,117.719E-12,116.056E-12,114.958E-12,114.134E-12,113.460E-12,112.878E-12,112.360E-12,111.888E-12,111.453E-12,111.048E-12,110.670E-12
2.39883E3,95.4499E-12,49.5349E-12,45.5909E-12,49.3339E-12,43.7671E-12,38.5824E-12,34.6737E-12,32.3309E-12,31.1385E-12,30.5269E-12,30.1633E-12,29.9089E-12,29.7084E-12,29.5385E-12,29.3884E-12,29.2524E-12,29.1273E-12,29.0111E-12,28.9024E-12,28.8004E-12,145.127E-12,89.2594E-12,86.4393E-12,90.8605E-12,79.7981E-12,69.4583E-12,61.4910E-12,56.6478E-12,54.1901E-12,52.9567E-12,52.2481E-12,51.7690E-12,51.4019E-12,51.0971E-12,50.8315E-12,50.5930E-12,50.3750E-12,50.1735E-12,49.9857E-12,49.8097E-12,184.740E-12,126.817E-12,129.349E-12,131.365E-12,114.820E-12,99.5003E-12,87.6017E-12,80.3295E-12,76.6437E-12,74.8081E-12,73.7664E-12,73.0714E-12,72.5451E-12,72.1117E-12,71.7361E-12,71.4003E-12,71.0942E-12,70.8117E-12,70.5487E-12,70.3025E-12,218.495E-12,162.380E-12,174.082E-12,170.937E-12,149.004E-12,128.904E-12,113.235E-12,103.636E-12,98.7780E-12,96.3677E-12,95.0081E-12,94.1071E-12,93.4287E-12,92.8725E-12,92.3919E-12,91.9630E-12,91.5725E-12,91.2124E-12,90.8773E-12,90.5636E-12,248.293E-12,196.210E-12,220.292E-12,209.587E-12,182.413E-12,157.733E-12,138.455E-12,126.638E-12,120.666E-12,117.711E-12,116.049E-12,114.952E-12,114.129E-12,113.455E-12,112.874E-12,112.356E-12,111.885E-12,111.450E-12,111.046E-12,110.667E-12
2.45471E3,94.3999E-12,49.1391E-12,45.4570E-12,49.2925E-12,43.7555E-12,38.5782E-12,34.6718E-12,32.3299E-12,31.1378E-12,30.5263E-12,30.1629E-12,29.9085E-12,29.7081E-12,29.5383E-12,29.3882E-12,29.2522E-12,29.1271E-12,29.0109E-12,28.9023E-12,28.8002E-12,143.525E-12,88.4804E-12,86.1032E-12,90.7492E-12,79.7651E-12,69.4460E-12,61.4853E-12,56.6445E-12,54.1879E-12,52.9550E-12,52.2467E-12,51.7678E-12,51.4009E-12,51.0963E-12,50.8307E-12,50.5923E-12,50.3744E-12,50.1730E-12,49.9852E-12,49.8092E-12,182.699E-12,125.668E-12,128.765E-12,131.163E-12,114.757E-12,99.4764E-12,87.5905E-12,80.3230E-12,76.6393E-12,74.8047E-12,73.7636E-12,73.0691E-12,72.5431E-12,72.1100E-12,71.7346E-12,71.3989E-12,71.0930E-12,70.8106E-12,70.5477E-12,70.3015E-12,216.080E-12,160.876E-12,173.219E-12,170.628E-12,148.905E-12,128.866E-12,113.216E-12,103.625E-12,98.7706E-12,96.3620E-12,95.0035E-12,94.1032E-12,93.4253E-12,92.8696E-12,92.3893E-12,91.9607E-12,91.5704E-12,91.2104E-12,90.8755E-12,90.5619E-12,245.549E-12,194.370E-12,219.126E-12,209.160E-12,182.271E-12,157.677E-12,138.428E-12,126.622E-12,120.655E-12,117.702E-12,116.042E-12,114.946E-12,114.124E-12,113.451E-12,112.870E-12,112.353E-12,111.882E-12,111.447E-12,111.043E-12,110.665E-12
2.51189E3,93.3623E-12,48.7491E-12,45.3259E-12,49.2520E-12,43.7441E-12,38.5742E-12,34.6699E-12,32.3288E-12,31.1371E-12,30.5258E-12,30.1625E-12,29.9082E-12,29.7078E-12,29.5380E-12,29.3879E-12,29.2520E-12,29.1269E-12,29.0107E-12,28.9021E-12,28.8001E-12,141.942E-12,87.7125E-12,85.7735E-12,90.6403E-12,79.7328E-12,69.4340E-12,61.4797E-12,56.6414E-12,54.1857E-12,52.9534E-12,52.2454E-12,51.7667E-12,51.4000E-12,51.0954E-12,50.8300E-12,50.5917E-12,50.3738E-12,50.1724E-12,49.9847E-12,49.8088E-12,180.682E-12,124.534E-12,128.192E-12,130.965E-12,114.696E-12,99.4531E-12,87.5795E-12,80.3166E-12,76.6349E-12,74.8013E-12,73.7609E-12,73.0669E-12,72.5411E-12,72.1082E-12,71.7331E-12,71.3976E-12,71.0917E-12,70.8094E-12,70.5466E-12,70.3005E-12,213.694E-12,159.394E-12,172.371E-12,170.326E-12,148.808E-12,128.828E-12,113.198E-12,103.615E-12,98.7633E-12,96.3565E-12,94.9989E-12,94.0994E-12,93.4221E-12,92.8667E-12,92.3867E-12,91.9584E-12,91.5684E-12,91.2086E-12,90.8738E-12,90.5603E-12,242.838E-12,192.556E-12,217.981E-12,208.742E-12,182.133E-12,157.622E-12,138.401E-12,126.607E-12,120.645E-12,117.694E-12,116.035E-12,114.940E-12,114.119E-12,113.446E-12,112.866E-12,112.349E-12,111.878E-12,111.444E-12,111.040E-12,110.662E-12
2.57040E3,92.3371E-12,48.3650E-12,45.1974E-12,49.2123E-12,43.7331E-12,38.5702E-12,34.6681E-12,32.3278E-12,31.1364E-12,30.5253E-12,30.1621E-12,29.9078E-12,29.7075E-12,29.5377E-12,29.3877E-12,29.2518E-12,29.1267E-12,29.0105E-12,28.9019E-12,28.7999E-12,140.378E-12,86.9555E-12,85.4500E-12,90.5337E-12,79.7012E-12,69.4223E-12,61.4743E-12,56.6382E-12,54.1836E-12,52.9518E-12,52.2441E-12,51.7656E-12,51.3990E-12,51.0946E-12,50.8292E-12,50.5910E-12,50.3732E-12,50.1719E-12,49.9842E-12,49.8083E-12,178.689E-12,123.416E-12,127.630E-12,130.771E-12,114.636E-12,99.4303E-12,87.5687E-12,80.3104E-12,76.6307E-12,74.7981E-12,73.7583E-12,73.0646E-12,72.5392E-12,72.1066E-12,71.7316E-12,71.3963E-12,71.0905E-12,70.8083E-12,70.5456E-12,70.2996E-12,211.336E-12,157.932E-12,171.539E-12,170.030E-12,148.713E-12,128.791E-12,113.181E-12,103.605E-12,98.7562E-12,96.3511E-12,94.9945E-12,94.0957E-12,93.4189E-12,92.8639E-12,92.3843E-12,91.9562E-12,91.5663E-12,91.2067E-12,90.8721E-12,90.5588E-12,240.159E-12,190.766E-12,216.856E-12,208.332E-12,181.997E-12,157.568E-12,138.376E-12,126.591E-12,120.634E-12,117.686E-12,116.029E-12,114.935E-12,114.114E-12,113.442E-12,112.863E-12,112.346E-12,111.875E-12,111.442E-12,111.038E-12,110.660E-12
2.63027E3,91.3241E-12,47.9867E-12,45.0714E-12,49.1736E-12,43.7222E-12,38.5663E-12,34.6664E-12,32.3268E-12,31.1357E-12,30.5248E-12,30.1617E-12,29.9075E-12,29.7072E-12,29.5375E-12,29.3875E-12,29.2516E-12,29.1265E-12,29.0104E-12,28.9018E-12,28.7998E-12,138.833E-12,86.2093E-12,85.1328E-12,90.4295E-12,79.6703E-12,69.4109E-12,61.4689E-12,56.6352E-12,54.1815E-12,52.9502E-12,52.2428E-12,51.7646E-12,51.3981E-12,51.0938E-12,50.8285E-12,50.5904E-12,50.3727E-12,50.1713E-12,49.9837E-12,49.8079E-12,176.719E-12,122.313E-12,127.078E-12,130.582E-12,114.577E-12,99.4081E-12,87.5582E-12,80.3043E-12,76.6265E-12,74.7949E-12,73.7557E-12,73.0625E-12,72.5374E-12,72.1050E-12,71.7301E-12,71.3950E-12,71.0894E-12,70.8073E-12,70.5446E-12,70.2987E-12,209.006E-12,156.490E-12,170.722E-12,169.740E-12,148.620E-12,128.755E-12,113.164E-12,103.595E-12,98.7493E-12,96.3457E-12,94.9902E-12,94.0921E-12,93.4158E-12,92.8612E-12,92.3818E-12,91.9540E-12,91.5644E-12,91.2049E-12,90.8704E-12,90.5572E-12,237.511E-12,189.000E-12,215.750E-12,207.932E-12,181.865E-12,157.516E-12,138.350E-12,126.576E-12,120.624E-12,117.678E-12,116.022E-12,114.929E-12,114.109E-12,113.438E-12,112.859E-12,112.343E-12,111.872E-12,111.439E-12,111.035E-12,110.658E-12
2.69153E3,90.3232E-12,47.6141E-12,44.9480E-12,49.1357E-12,43.7116E-12,38.5625E-12,34.6647E-12,32.3258E-12,31.1351E-12,30.5243E-12,30.1613E-12,29.9072E-12,29.7069E-12,29.5373E-12,29.3873E-12,29.2514E-12,29.1264E-12,29.0102E-12,28.9017E-12,28.7997E-12,137.306E-12,85.4739E-12,84.8216E-12,90.3275E-12,79.6402E-12,69.3997E-12,61.4637E-12,56.6322E-12,54.1795E-12,52.9486E-12,52.2416E-12,51.7635E-12,51.3972E-12,51.0931E-12,50.8278E-12,50.5898E-12,50.3721E-12,50.1708E-12,49.9832E-12,49.8074E-12,174.773E-12,121.226E-12,126.536E-12,130.396E-12,114.520E-12,99.3863E-12,87.5479E-12,80.2984E-12,76.6224E-12,74.7918E-12,73.7532E-12,73.0604E-12,72.5356E-12,72.1034E-12,71.7287E-12,71.3937E-12,71.0882E-12,70.8062E-12,70.5437E-12,70.2978E-12,206.704E-12,155.067E-12,169.919E-12,169.456E-12,148.529E-12,128.720E-12,113.147E-12,103.585E-12,98.7425E-12,96.3406E-12,94.9860E-12,94.0886E-12,93.4127E-12,92.8585E-12,92.3795E-12,91.9519E-12,91.5624E-12,91.2031E-12,90.8688E-12,90.5558E-12,234.895E-12,187.259E-12,214.665E-12,207.539E-12,181.735E-12,157.465E-12,138.325E-12,126.562E-12,120.614E-12,117.670E-12,116.016E-12,114.924E-12,114.105E-12,113.434E-12,112.855E-12,112.339E-12,111.870E-12,111.436E-12,111.033E-12,110.655E-12
2.75423E3,89.3343E-12,47.2471E-12,44.8271E-12,49.0987E-12,43.7013E-12,38.5588E-12,34.6630E-12,32.3249E-12,31.1344E-12,30.5238E-12,30.1609E-12,29.9068E-12,29.7066E-12,29.5370E-12,29.3871E-12,29.2512E-12,29.1262E-12,29.0101E-12,28.9015E-12,28.7995E-12,135.797E-12,84.7489E-12,84.5164E-12,90.2277E-12,79.6107E-12,69.3887E-12,61.4587E-12,56.6293E-12,54.1775E-12,52.9471E-12,52.2404E-12,51.7625E-12,51.3964E-12,51.0923E-12,50.8272E-12,50.5891E-12,50.3716E-12,50.1703E-12,49.9828E-12,49.8070E-12,172.850E-12,120.154E-12,126.005E-12,130.214E-12,114.464E-12,99.3650E-12,87.5379E-12,80.2926E-12,76.6184E-12,74.7888E-12,73.7507E-12,73.0583E-12,72.5338E-12,72.1018E-12,71.7273E-12,71.3925E-12,71.0871E-12,70.8052E-12,70.5427E-12,70.2969E-12,204.429E-12,153.665E-12,169.132E-12,169.179E-12,148.440E-12,128.686E-12,113.130E-12,103.575E-12,98.7359E-12,96.3355E-12,94.9819E-12,94.0851E-12,93.4097E-12,92.8559E-12,92.3771E-12,91.9498E-12,91.5605E-12,91.2014E-12,90.8672E-12,90.5543E-12,232.311E-12,185.541E-12,213.599E-12,207.155E-12,181.609E-12,157.415E-12,138.301E-12,126.548E-12,120.604E-12,117.663E-12,116.010E-12,114.919E-12,114.100E-12,113.430E-12,112.852E-12,112.336E-12,111.867E-12,111.434E-12,111.031E-12,110.653E-12
