freq (Hz),output noise; A / sqrt(Hz) b 8 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 4  (A / sqrt(Hz))
676.083,32.4820E-12,36.7785E-12,45.2487E-12,58.9545E-12,79.1699E-12,31.1072E-12,34.7850E-12,42.3058E-12,54.6740E-12,73.1431E-12,30.7384E-12,34.3248E-12,41.7120E-12,53.8779E-12,72.1019E-12,30.4966E-12,34.0410E-12,41.3784E-12,53.4807E-12,71.6035E-12,30.3121E-12,33.8261E-12,41.1311E-12,53.1911E-12,71.2504E-12,30.1646E-12,33.6540E-12,40.9343E-12,52.9638E-12,70.9732E-12,30.0436E-12,33.5125E-12,40.7730E-12,52.7640E-12,70.7465E-12,29.9426E-12,33.3942E-12,40.6377E-12,52.6058E-12,70.5566E-12,29.8570E-12,33.2935E-12,40.5229E-12,52.4713E-12,70.3950E-12
691.831,32.3592E-12,36.7009E-12,45.1999E-12,58.9189E-12,79.1336E-12,30.9944E-12,34.7162E-12,42.2641E-12,54.6458E-12,73.1188E-12,30.6254E-12,34.2563E-12,41.6709E-12,53.8509E-12,72.0802E-12,30.3831E-12,33.9722E-12,41.3372E-12,53.4540E-12,71.5828E-12,30.1979E-12,33.7569E-12,41.0899E-12,53.1646E-12,71.2304E-12,30.0499E-12,33.5846E-12,40.8929E-12,52.9374E-12,70.9535E-12,29.9285E-12,33.4428E-12,40.7315E-12,52.7376E-12,70.7270E-12,29.8271E-12,33.3242E-12,40.5961E-12,52.5795E-12,70.5372E-12,29.7412E-12,33.2233E-12,40.4812E-12,52.4449E-12,70.3758E-12
707.946,32.2387E-12,36.6248E-12,45.1522E-12,58.8842E-12,79.0981E-12,30.8837E-12,34.6488E-12,42.2233E-12,54.6183E-12,73.0951E-12,30.5147E-12,34.1892E-12,41.6307E-12,53.8245E-12,72.0591E-12,30.2717E-12,33.9048E-12,41.2970E-12,53.4280E-12,71.5627E-12,30.0860E-12,33.6892E-12,41.0495E-12,53.1387E-12,71.2108E-12,29.9374E-12,33.5166E-12,40.8525E-12,52.9115E-12,70.9343E-12,29.8156E-12,33.3746E-12,40.6909E-12,52.7118E-12,70.7079E-12,29.7138E-12,33.2557E-12,40.5554E-12,52.5537E-12,70.5183E-12,29.6276E-12,33.1546E-12,40.4404E-12,52.4191E-12,70.3570E-12
724.436,32.1205E-12,36.5503E-12,45.1056E-12,58.8502E-12,79.0634E-12,30.7751E-12,34.5829E-12,42.1833E-12,54.5915E-12,73.0720E-12,30.4061E-12,34.1236E-12,41.5914E-12,53.7988E-12,72.0383E-12,30.1625E-12,33.8389E-12,41.2577E-12,53.4026E-12,71.5430E-12,29.9762E-12,33.6229E-12,41.0101E-12,53.1134E-12,71.1916E-12,29.8271E-12,33.4500E-12,40.8129E-12,52.8862E-12,70.9154E-12,29.7048E-12,33.3077E-12,40.6513E-12,52.6865E-12,70.6893E-12,29.6027E-12,33.1886E-12,40.5157E-12,52.5284E-12,70.4999E-12,29.5161E-12,33.0873E-12,40.4005E-12,52.3939E-12,70.3387E-12
741.310,32.0046E-12,36.4774E-12,45.0599E-12,58.8170E-12,79.0294E-12,30.6687E-12,34.5183E-12,42.1443E-12,54.5652E-12,73.0493E-12,30.2996E-12,34.0593E-12,41.5529E-12,53.7736E-12,72.0181E-12,30.0554E-12,33.7743E-12,41.2192E-12,53.3777E-12,71.5238E-12,29.8685E-12,33.5580E-12,40.9715E-12,53.0886E-12,71.1729E-12,29.7189E-12,33.3848E-12,40.7742E-12,52.8615E-12,70.8970E-12,29.5961E-12,33.2422E-12,40.6124E-12,52.6619E-12,70.6711E-12,29.4936E-12,33.1229E-12,40.4767E-12,52.5038E-12,70.4818E-12,29.4067E-12,33.0214E-12,40.3615E-12,52.3692E-12,70.3207E-12
758.578,31.8909E-12,36.4060E-12,45.0152E-12,58.7845E-12,78.9963E-12,30.5643E-12,34.4551E-12,42.1061E-12,54.5395E-12,73.0272E-12,30.1951E-12,33.9963E-12,41.5152E-12,53.7490E-12,71.9983E-12,29.9503E-12,33.7111E-12,41.1815E-12,53.3534E-12,71.5049E-12,29.7628E-12,33.4945E-12,40.9338E-12,53.0644E-12,71.1546E-12,29.6127E-12,33.3209E-12,40.7363E-12,52.8374E-12,70.8791E-12,29.4896E-12,33.1781E-12,40.5745E-12,52.6378E-12,70.6533E-12,29.3867E-12,33.0586E-12,40.4387E-12,52.4797E-12,70.4642E-12,29.2995E-12,32.9569E-12,40.3234E-12,52.3451E-12,70.3032E-12
776.247,31.7794E-12,36.3361E-12,44.9716E-12,58.7528E-12,78.9638E-12,30.4620E-12,34.3932E-12,42.0688E-12,54.5143E-12,73.0056E-12,30.0927E-12,33.9347E-12,41.4784E-12,53.7249E-12,71.9790E-12,29.8473E-12,33.6492E-12,41.1447E-12,53.3296E-12,71.4865E-12,29.6592E-12,33.4323E-12,40.8968E-12,53.0408E-12,71.1367E-12,29.5087E-12,33.2584E-12,40.6993E-12,52.8137E-12,70.8615E-12,29.3851E-12,33.1154E-12,40.5373E-12,52.6142E-12,70.6359E-12,29.2818E-12,32.9956E-12,40.4014E-12,52.4561E-12,70.4469E-12,29.1943E-12,32.8938E-12,40.2861E-12,52.3215E-12,70.2860E-12
794.328,31.6701E-12,36.2676E-12,44.9288E-12,58.7217E-12,78.9321E-12,30.3616E-12,34.3326E-12,42.0322E-12,54.4898E-12,72.9844E-12,29.9923E-12,33.8743E-12,41.4424E-12,53.7013E-12,71.9601E-12,29.7463E-12,33.5886E-12,41.1087E-12,53.3064E-12,71.4686E-12,29.5577E-12,33.3714E-12,40.8607E-12,53.0176E-12,71.1192E-12,29.4066E-12,33.1972E-12,40.6631E-12,52.7907E-12,70.8443E-12,29.2826E-12,33.0539E-12,40.5010E-12,52.5911E-12,70.6189E-12,29.1790E-12,32.9340E-12,40.3650E-12,52.4330E-12,70.4300E-12,29.0912E-12,32.8319E-12,40.2495E-12,52.2984E-12,70.2692E-12
812.831,31.5629E-12,36.2006E-12,44.8870E-12,58.6914E-12,78.9011E-12,30.2632E-12,34.2733E-12,41.9965E-12,54.4657E-12,72.9638E-12,29.8938E-12,33.8153E-12,41.4072E-12,53.6783E-12,71.9416E-12,29.6473E-12,33.5292E-12,41.0735E-12,53.2836E-12,71.4510E-12,29.4581E-12,33.3117E-12,40.8254E-12,52.9950E-12,71.1021E-12,29.3065E-12,33.1373E-12,40.6277E-12,52.7681E-12,70.8275E-12,29.1821E-12,32.9938E-12,40.4655E-12,52.5686E-12,70.6023E-12,29.0781E-12,32.8736E-12,40.3294E-12,52.4105E-12,70.4136E-12,28.9900E-12,32.7714E-12,40.2138E-12,52.2759E-12,70.2528E-12
831.764,31.4578E-12,36.1350E-12,44.8461E-12,58.6617E-12,78.8709E-12,30.1668E-12,34.2152E-12,41.9616E-12,54.4423E-12,72.9435E-12,29.7973E-12,33.7574E-12,41.3727E-12,53.6558E-12,71.9235E-12,29.5502E-12,33.4712E-12,41.0390E-12,53.2614E-12,71.4338E-12,29.3604E-12,33.2533E-12,40.7909E-12,52.9729E-12,71.0854E-12,29.2083E-12,33.0787E-12,40.5930E-12,52.7460E-12,70.8110E-12,29.0835E-12,32.9349E-12,40.4307E-12,52.5466E-12,70.5861E-12,28.9792E-12,32.8145E-12,40.2945E-12,52.3885E-12,70.3975E-12,28.8908E-12,32.7121E-12,40.1789E-12,52.2539E-12,70.2368E-12
851.138,31.3547E-12,36.0708E-12,44.8061E-12,58.6326E-12,78.8412E-12,30.0722E-12,34.1583E-12,41.9274E-12,54.4193E-12,72.9238E-12,29.7026E-12,33.7008E-12,41.3390E-12,53.6338E-12,71.9058E-12,29.4550E-12,33.4143E-12,41.0053E-12,53.2397E-12,71.4170E-12,29.2646E-12,33.1962E-12,40.7571E-12,52.9513E-12,71.0691E-12,29.1121E-12,33.0213E-12,40.5591E-12,52.7244E-12,70.7950E-12,28.9869E-12,32.8772E-12,40.3967E-12,52.5250E-12,70.5702E-12,28.8822E-12,32.7567E-12,40.2605E-12,52.3669E-12,70.3817E-12,28.7935E-12,32.6540E-12,40.1448E-12,52.2323E-12,70.2212E-12
870.964,31.2537E-12,36.0079E-12,44.7670E-12,58.6043E-12,78.8123E-12,29.9795E-12,34.1027E-12,41.8939E-12,54.3968E-12,72.9045E-12,29.6098E-12,33.6454E-12,41.3061E-12,53.6123E-12,71.8886E-12,29.3616E-12,33.3586E-12,40.9723E-12,53.2184E-12,71.4006E-12,29.1708E-12,33.1402E-12,40.7240E-12,52.9302E-12,71.0531E-12,29.0178E-12,32.9650E-12,40.5260E-12,52.7033E-12,70.7793E-12,28.8921E-12,32.8208E-12,40.3635E-12,52.5040E-12,70.5547E-12,28.7871E-12,32.7000E-12,40.2271E-12,52.3459E-12,70.3663E-12,28.6981E-12,32.5972E-12,40.1113E-12,52.2112E-12,70.2059E-12
891.251,31.1546E-12,35.9463E-12,44.7288E-12,58.5765E-12,78.7840E-12,29.8886E-12,34.0482E-12,41.8613E-12,54.3749E-12,72.8856E-12,29.5189E-12,33.5912E-12,41.2738E-12,53.5913E-12,71.8717E-12,29.2701E-12,33.3042E-12,40.9401E-12,53.1977E-12,71.3846E-12,29.0787E-12,33.0855E-12,40.6917E-12,52.9095E-12,71.0375E-12,28.9253E-12,32.9100E-12,40.4936E-12,52.6827E-12,70.7640E-12,28.7992E-12,32.7655E-12,40.3310E-12,52.4834E-12,70.5395E-12,28.6939E-12,32.6446E-12,40.1945E-12,52.3253E-12,70.3513E-12,28.6046E-12,32.5416E-12,40.0787E-12,52.1907E-12,70.1909E-12
912.011,31.0575E-12,35.8860E-12,44.6913E-12,58.5494E-12,78.7563E-12,29.7996E-12,33.9949E-12,41.8293E-12,54.3534E-12,72.8672E-12,29.4297E-12,33.5381E-12,41.2423E-12,53.5707E-12,71.8552E-12,29.1804E-12,33.2508E-12,40.9086E-12,53.1774E-12,71.3689E-12,28.9885E-12,33.0319E-12,40.6601E-12,52.8893E-12,71.0223E-12,28.8346E-12,32.8562E-12,40.4619E-12,52.6626E-12,70.7490E-12,28.7082E-12,32.7115E-12,40.2992E-12,52.4633E-12,70.5247E-12,28.6025E-12,32.5903E-12,40.1627E-12,52.3052E-12,70.3366E-12,28.5129E-12,32.4872E-12,40.0467E-12,52.1705E-12,70.1763E-12
933.254,30.9623E-12,35.8271E-12,44.6547E-12,58.5229E-12,78.7292E-12,29.7123E-12,33.9428E-12,41.7980E-12,54.3325E-12,72.8491E-12,29.3423E-12,33.4861E-12,41.2115E-12,53.5506E-12,71.8391E-12,29.0925E-12,33.1986E-12,40.8778E-12,53.1575E-12,71.3536E-12,28.9001E-12,32.9794E-12,40.6292E-12,52.8696E-12,71.0074E-12,28.7457E-12,32.8034E-12,40.4309E-12,52.6429E-12,70.7343E-12,28.6189E-12,32.6585E-12,40.2681E-12,52.4436E-12,70.5102E-12,28.5129E-12,32.5372E-12,40.1315E-12,52.2855E-12,70.3222E-12,28.4230E-12,32.4339E-12,40.0154E-12,52.1508E-12,70.1620E-12
954.993,30.8690E-12,35.7693E-12,44.6190E-12,58.4970E-12,78.7028E-12,29.6267E-12,33.8917E-12,41.7674E-12,54.3120E-12,72.8315E-12,29.2567E-12,33.4353E-12,41.1813E-12,53.5310E-12,71.8233E-12,29.0063E-12,33.1475E-12,40.8476E-12,53.1381E-12,71.3386E-12,28.8134E-12,32.9280E-12,40.5990E-12,52.8503E-12,70.9928E-12,28.6586E-12,32.7518E-12,40.4006E-12,52.6236E-12,70.7200E-12,28.5314E-12,32.6067E-12,40.2377E-12,52.4244E-12,70.4961E-12,28.4251E-12,32.4852E-12,40.1010E-12,52.2663E-12,70.3081E-12,28.3349E-12,32.3817E-12,39.9849E-12,52.1316E-12,70.1480E-12
977.237,30.7775E-12,35.7128E-12,44.5839E-12,58.4716E-12,78.6769E-12,29.5429E-12,33.8417E-12,41.7375E-12,54.2919E-12,72.8143E-12,29.1727E-12,33.3855E-12,41.1518E-12,53.5118E-12,71.8079E-12,28.9218E-12,33.0975E-12,40.8181E-12,53.1192E-12,71.3239E-12,28.7284E-12,32.8778E-12,40.5694E-12,52.8314E-12,70.9786E-12,28.5731E-12,32.7013E-12,40.3709E-12,52.6047E-12,70.7060E-12,28.4456E-12,32.5560E-12,40.2079E-12,52.4056E-12,70.4822E-12,28.3390E-12,32.4343E-12,40.0712E-12,52.2475E-12,70.2944E-12,28.2486E-12,32.3307E-12,39.9550E-12,52.1128E-12,70.1343E-12
1.00000E3,30.6879E-12,35.6575E-12,44.5497E-12,58.4468E-12,78.6517E-12,29.4607E-12,33.7928E-12,41.7083E-12,54.2723E-12,72.7974E-12,29.0905E-12,33.3368E-12,41.1230E-12,53.4930E-12,71.7929E-12,28.8391E-12,33.0486E-12,40.7893E-12,53.1006E-12,71.3096E-12,28.6451E-12,32.8286E-12,40.5405E-12,52.8130E-12,70.9646E-12,28.4894E-12,32.6519E-12,40.3419E-12,52.5863E-12,70.6923E-12,28.3615E-12,32.5064E-12,40.1788E-12,52.3872E-12,70.4687E-12,28.2546E-12,32.3845E-12,40.0420E-12,52.2291E-12,70.2810E-12,28.1639E-12,32.2807E-12,39.9257E-12,52.0944E-12,70.1210E-12
1.02329E3,30.6000E-12,35.6033E-12,44.5162E-12,58.4226E-12,78.6270E-12,29.3802E-12,33.7449E-12,41.6797E-12,54.2532E-12,72.7810E-12,29.0099E-12,33.2891E-12,41.0948E-12,53.4746E-12,71.7782E-12,28.7579E-12,33.0007E-12,40.7611E-12,53.0825E-12,71.2956E-12,28.5635E-12,32.7804E-12,40.5122E-12,52.7949E-12,70.9510E-12,28.4074E-12,32.6035E-12,40.3135E-12,52.5683E-12,70.6789E-12,28.2791E-12,32.4578E-12,40.1504E-12,52.3692E-12,70.4555E-12,28.1719E-12,32.3357E-12,40.0135E-12,52.2111E-12,70.2678E-12,28.0809E-12,32.2318E-12,39.8972E-12,52.0764E-12,70.1079E-12
1.04713E3,30.5139E-12,35.5504E-12,44.4835E-12,58.3989E-12,78.6028E-12,29.3013E-12,33.6981E-12,41.6517E-12,54.2344E-12,72.7649E-12,28.9309E-12,33.2425E-12,41.0672E-12,53.4567E-12,71.7638E-12,28.6784E-12,32.9538E-12,40.7335E-12,53.0648E-12,71.2820E-12,28.4835E-12,32.7333E-12,40.4846E-12,52.7773E-12,70.9377E-12,28.3270E-12,32.5562E-12,40.2858E-12,52.5507E-12,70.6659E-12,28.1984E-12,32.4102E-12,40.1226E-12,52.3517E-12,70.4425E-12,28.0908E-12,32.2880E-12,39.9856E-12,52.1936E-12,70.2550E-12,27.9996E-12,32.1839E-12,39.8692E-12,52.0589E-12,70.0952E-12
1.07152E3,30.4295E-12,35.4985E-12,44.4515E-12,58.3758E-12,78.5792E-12,29.2240E-12,33.6523E-12,41.6244E-12,54.2161E-12,72.7491E-12,28.8534E-12,33.1968E-12,41.0403E-12,53.4392E-12,71.7497E-12,28.6005E-12,32.9080E-12,40.7066E-12,53.0475E-12,71.2686E-12,28.4051E-12,32.6872E-12,40.4575E-12,52.7601E-12,70.9247E-12,28.2482E-12,32.5098E-12,40.2587E-12,52.5335E-12,70.6531E-12,28.1192E-12,32.3637E-12,40.0954E-12,52.3345E-12,70.4299E-12,28.0113E-12,32.2413E-12,39.9583E-12,52.1764E-12,70.2425E-12,27.9199E-12,32.1371E-12,39.8419E-12,52.0417E-12,70.0827E-12
1.09648E3,30.3468E-12,35.4478E-12,44.4201E-12,58.3531E-12,78.5561E-12,29.1482E-12,33.6074E-12,41.5976E-12,54.1982E-12,72.7338E-12,28.7776E-12,33.1522E-12,41.0139E-12,53.4220E-12,71.7360E-12,28.5242E-12,32.8631E-12,40.6802E-12,53.0306E-12,71.2555E-12,28.3283E-12,32.6421E-12,40.4311E-12,52.7432E-12,70.9120E-12,28.1710E-12,32.4645E-12,40.2322E-12,52.5167E-12,70.6406E-12,28.0416E-12,32.3182E-12,40.0688E-12,52.3177E-12,70.4175E-12,27.9335E-12,32.1956E-12,39.9316E-12,52.1596E-12,70.2302E-12,27.8418E-12,32.0912E-12,39.8151E-12,52.0249E-12,70.0705E-12
1.12202E3,30.2658E-12,35.3981E-12,44.3895E-12,58.3310E-12,78.5336E-12,29.0740E-12,33.5635E-12,41.5715E-12,54.1808E-12,72.7187E-12,28.7033E-12,33.1084E-12,40.9881E-12,53.4053E-12,71.7225E-12,28.4494E-12,32.8192E-12,40.6544E-12,53.0140E-12,71.2428E-12,28.2531E-12,32.5979E-12,40.4052E-12,52.7268E-12,70.8996E-12,28.0953E-12,32.4201E-12,40.2062E-12,52.5003E-12,70.6284E-12,27.9656E-12,32.2736E-12,40.0428E-12,52.3013E-12,70.4055E-12,27.8572E-12,32.1508E-12,39.9055E-12,52.1432E-12,70.2183E-12,27.7652E-12,32.0463E-12,39.7890E-12,52.0085E-12,70.0586E-12
1.14815E3,30.1864E-12,35.3495E-12,44.3596E-12,58.3094E-12,78.5115E-12,29.0013E-12,33.5206E-12,41.5459E-12,54.1636E-12,72.7040E-12,28.6305E-12,33.0657E-12,40.9629E-12,53.3889E-12,71.7094E-12,28.3761E-12,32.7762E-12,40.6292E-12,52.9978E-12,71.2303E-12,28.1793E-12,32.5547E-12,40.3800E-12,52.7107E-12,70.8875E-12,28.0212E-12,32.3767E-12,40.1809E-12,52.4842E-12,70.6165E-12,27.8912E-12,32.2300E-12,40.0173E-12,52.2853E-12,70.3937E-12,27.7824E-12,32.1071E-12,39.8800E-12,52.1272E-12,70.2065E-12,27.6902E-12,32.0024E-12,39.7634E-12,51.9924E-12,70.0470E-12
1.17490E3,30.1086E-12,35.3019E-12,44.3303E-12,58.2882E-12,78.4900E-12,28.9301E-12,33.4785E-12,41.5209E-12,54.1469E-12,72.6897E-12,28.5591E-12,33.0238E-12,40.9383E-12,53.3729E-12,71.6966E-12,28.3043E-12,32.7341E-12,40.6045E-12,52.9820E-12,71.2181E-12,28.1071E-12,32.5124E-12,40.3552E-12,52.6949E-12,70.8756E-12,27.9485E-12,32.3342E-12,40.1561E-12,52.4685E-12,70.6048E-12,27.8182E-12,32.1873E-12,39.9925E-12,52.2696E-12,70.3821E-12,27.7092E-12,32.0643E-12,39.8551E-12,52.1115E-12,70.1951E-12,27.6167E-12,31.9595E-12,39.7384E-12,51.9768E-12,70.0356E-12
1.20226E3,30.0324E-12,35.2554E-12,44.3017E-12,58.2675E-12,78.4689E-12,28.8603E-12,33.4374E-12,41.4964E-12,54.1306E-12,72.6757E-12,28.4892E-12,32.9829E-12,40.9142E-12,53.3572E-12,71.6840E-12,28.2340E-12,32.6930E-12,40.5804E-12,52.9666E-12,71.2062E-12,28.0363E-12,32.4711E-12,40.3311E-12,52.6795E-12,70.8640E-12,27.8774E-12,32.2926E-12,40.1318E-12,52.4532E-12,70.5934E-12,27.7467E-12,32.1456E-12,39.9681E-12,52.2543E-12,70.3709E-12,27.6374E-12,32.0223E-12,39.8307E-12,52.0961E-12,70.1839E-12,27.5447E-12,31.9174E-12,39.7139E-12,51.9614E-12,70.0245E-12
1.23027E3,29.9578E-12,35.2098E-12,44.2736E-12,58.2473E-12,78.4483E-12,28.7919E-12,33.3972E-12,41.4725E-12,54.1146E-12,72.6619E-12,28.4208E-12,32.9428E-12,40.8906E-12,53.3419E-12,71.6718E-12,28.1650E-12,32.6527E-12,40.5568E-12,52.9514E-12,71.1945E-12,27.9669E-12,32.4306E-12,40.3074E-12,52.6645E-12,70.8527E-12,27.8076E-12,32.2520E-12,40.1081E-12,52.4381E-12,70.5823E-12,27.6766E-12,32.1047E-12,39.9443E-12,52.2393E-12,70.3599E-12,27.5671E-12,31.9813E-12,39.8068E-12,52.0812E-12,70.1730E-12,27.4741E-12,31.8763E-12,39.6900E-12,51.9464E-12,70.0136E-12
1.25893E3,29.8846E-12,35.1653E-12,44.2463E-12,58.2276E-12,78.4282E-12,28.7250E-12,33.3578E-12,41.4491E-12,54.0990E-12,72.6485E-12,28.3537E-12,32.9036E-12,40.8675E-12,53.3269E-12,71.6598E-12,28.0975E-12,32.6133E-12,40.5338E-12,52.9367E-12,71.1831E-12,27.8990E-12,32.3910E-12,40.2843E-12,52.6498E-12,70.8416E-12,27.7393E-12,32.2121E-12,40.0849E-12,52.4235E-12,70.5714E-12,27.6080E-12,32.0647E-12,39.9211E-12,52.2246E-12,70.3491E-12,27.4982E-12,31.9412E-12,39.7835E-12,52.0665E-12,70.1623E-12,27.4050E-12,31.8360E-12,39.6667E-12,51.9318E-12,70.0030E-12
1.28825E3,29.8130E-12,35.1217E-12,44.2195E-12,58.2082E-12,78.4085E-12,28.6594E-12,33.3193E-12,41.4263E-12,54.0837E-12,72.6354E-12,28.2880E-12,32.8652E-12,40.8450E-12,53.3123E-12,71.6481E-12,28.0314E-12,32.5748E-12,40.5113E-12,52.9222E-12,71.1720E-12,27.8324E-12,32.3522E-12,40.2617E-12,52.6354E-12,70.8308E-12,27.6724E-12,32.1732E-12,40.0623E-12,52.4091E-12,70.5607E-12,27.5408E-12,32.0256E-12,39.8984E-12,52.2103E-12,70.3386E-12,27.4307E-12,31.9019E-12,39.7607E-12,52.0522E-12,70.1519E-12,27.3373E-12,31.7967E-12,39.6438E-12,51.9175E-12,69.9926E-12
1.31826E3,29.7428E-12,35.0790E-12,44.1933E-12,58.1894E-12,78.3892E-12,28.5951E-12,33.2816E-12,41.4039E-12,54.0688E-12,72.6226E-12,28.2237E-12,32.8277E-12,40.8230E-12,53.2980E-12,71.6366E-12,27.9666E-12,32.5371E-12,40.4892E-12,52.9081E-12,71.1611E-12,27.7673E-12,32.3143E-12,40.2396E-12,52.6214E-12,70.8202E-12,27.6069E-12,32.1351E-12,40.0401E-12,52.3951E-12,70.5503E-12,27.4749E-12,31.9873E-12,39.8761E-12,52.1963E-12,70.3283E-12,27.3646E-12,31.8635E-12,39.7384E-12,52.0382E-12,70.1417E-12,27.2709E-12,31.7581E-12,39.6215E-12,51.9035E-12,69.9825E-12
1.34896E3,29.6740E-12,35.0373E-12,44.1677E-12,58.1709E-12,78.3704E-12,28.5322E-12,33.2448E-12,41.3821E-12,54.0542E-12,72.6101E-12,28.1607E-12,32.7910E-12,40.8014E-12,53.2840E-12,71.6255E-12,27.9032E-12,32.5002E-12,40.4677E-12,52.8943E-12,71.1505E-12,27.7034E-12,32.2772E-12,40.2180E-12,52.6077E-12,70.8099E-12,27.5426E-12,32.0978E-12,40.0184E-12,52.3814E-12,70.5402E-12,27.4104E-12,31.9499E-12,39.8544E-12,52.1826E-12,70.3182E-12,27.2998E-12,31.8259E-12,39.7166E-12,52.0245E-12,70.1317E-12,27.2059E-12,31.7204E-12,39.5996E-12,51.8898E-12,69.9726E-12
1.38038E3,29.6067E-12,34.9964E-12,44.1427E-12,58.1529E-12,78.3521E-12,28.4706E-12,33.2087E-12,41.3607E-12,54.0400E-12,72.5979E-12,28.0990E-12,32.7551E-12,40.7804E-12,53.2704E-12,71.6145E-12,27.8411E-12,32.4641E-12,40.4466E-12,52.8808E-12,71.1401E-12,27.6409E-12,32.2409E-12,40.1969E-12,52.5942E-12,70.7998E-12,27.4798E-12,32.0613E-12,39.9972E-12,52.3680E-12,70.5302E-12,27.3472E-12,31.9133E-12,39.8331E-12,52.1693E-12,70.3084E-12,27.2363E-12,31.7892E-12,39.6953E-12,52.0112E-12,70.1219E-12,27.1423E-12,31.6835E-12,39.5782E-12,51.8764E-12,69.9629E-12
1.41254E3,29.5408E-12,34.9565E-12,44.1182E-12,58.1352E-12,78.3341E-12,28.4103E-12,33.1734E-12,41.3398E-12,54.0260E-12,72.5859E-12,28.0385E-12,32.7199E-12,40.7598E-12,53.2570E-12,71.6038E-12,27.7802E-12,32.4288E-12,40.4260E-12,52.8677E-12,71.1299E-12,27.5796E-12,32.2054E-12,40.1762E-12,52.5811E-12,70.7899E-12,27.4182E-12,32.0256E-12,39.9765E-12,52.3549E-12,70.5205E-12,27.2853E-12,31.8774E-12,39.8123E-12,52.1562E-12,70.2988E-12,27.1742E-12,31.7532E-12,39.6745E-12,51.9981E-12,70.1124E-12,27.0799E-12,31.6474E-12,39.5573E-12,51.8633E-12,69.9534E-12
